mc_run_id,grouping,mean_ghgs,mean_land,mean_watscar,mean_eut,mean_ghgs_ch4,mean_ghgs_n2o,mean_bio,mean_watuse,mean_acid,sd_ghgs,sd_land,sd_watscar,sd_eut,sd_ghgs_ch4,sd_ghgs_n2o,sd_bio,sd_watuse,sd_acid,n_participants,sex,diet_group,age_group
2,fish_female_70-79,4.635637842,7.223385112,18046.21137,23.74405903,0.772899088,0.341096322,294.6589764,807.0346899,23.61532971,1.597949753,2.477222381,6103.757486,8.787765499,0.362382095,0.182255729,169.1022475,439.1220768,8.742987097,195,female,fish,70-79
2,fish_male_20-29,5.087122014,7.723894506,16893.36502,27.66914773,0.813036674,0.352800009,265.6702227,920.5015985,25.75709094,1.648961582,2.573115554,5966.488688,11.32633572,0.353204035,0.17696185,148.4495807,508.276031,8.74123184,163,male,fish,20-29
2,fish_male_30-39,4.759447029,7.43382125,16300.35084,25.69673343,0.737797398,0.318712584,253.5549305,889.010904,24.39096996,1.470053878,2.555172695,5508.567816,9.081958465,0.336411419,0.131358459,137.4906998,526.2446639,8.213636602,412,male,fish,30-39
2,fish_male_40-49,4.681114878,7.143644272,16291.18998,24.83401197,0.728937673,0.313260925,246.5503275,817.7298422,23.75308549,1.462012744,2.428791324,5196.650699,9.642525779,0.314303173,0.126650523,120.7809243,428.3115688,8.286447179,432,male,fish,40-49
2,fish_male_50-59,4.688015271,7.044369475,16630.51266,24.38739922,0.737174484,0.313276753,266.0680704,819.1022265,24.0576467,1.516237836,2.10827181,5843.502098,8.613567309,0.34140397,0.150753982,128.9617143,455.3443791,8.540173514,214,male,fish,50-59
2,fish_male_60-69,4.779983187,7.317518424,17348.94135,24.42294831,0.780143147,0.347003512,296.5744678,837.4998189,23.88089825,1.672579097,2.6681838,6496.645281,9.927753896,0.43744586,0.206624149,169.1815569,460.6543786,8.938697792,159,male,fish,60-69
2,fish_male_70-79,4.924783975,7.576396022,18461.89324,25.74865103,0.816965638,0.344917578,295.4738106,830.5188231,24.8009108,1.555582416,2.355669138,7570.467007,10.74449283,0.361901788,0.165255453,137.7480437,422.0117404,8.025503628,68,male,fish,70-79
2,meat <50_female_20-29,4.766742623,7.420713068,15279.44374,25.07072573,0.900912295,0.342172774,267.283437,813.5105353,24.64842188,1.376536946,2.317591328,4859.774527,7.580227381,0.328262237,0.136954314,132.0822962,397.5228151,7.812261159,764,female,meat50,20-29
2,meat <50_female_30-39,4.856938922,7.42436214,16039.43264,25.44342239,0.905622464,0.341480167,268.1843695,811.9320976,25.43310696,1.498704714,2.269430038,5197.672067,7.992798701,0.360985211,0.16342599,145.2052041,402.9708047,8.213978957,1483,female,meat50,30-39
2,meat <50_female_40-49,4.945881155,7.583968546,16370.14534,25.7193075,0.948693621,0.346799748,275.2812229,806.1328904,25.76467901,1.398212695,2.258905204,4859.47339,7.530402711,0.347651295,0.165987015,147.445396,380.0974305,7.686163693,2093,female,meat50,40-49
